project_id,job_bc_code,job_bc_code_description
285357,1052.0,Five or More Family Condo
285366,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
285357,1052.0,Five or More Family Condo
285370,4380.0,Add/Alt Tenant Improvements
36512,3240.0,Office/Bank/Professional Bldg
36513,6490.0,Demo of NonRes Buildings
285392,4380.0,Add/Alt Tenant Improvements
285425,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
285436,4380.0,Add/Alt Tenant Improvements
285439,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
285444,1010.0,One Family Detached
285445,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
285475,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
285486,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
285487,3291.0,Acc Struct to 1 or 2 Family
36525,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
285539,3295.0,ACC STRUCT- NON RES
36532,4380.0,Add/Alt Tenant Improvements
285561,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
285567,1010.0,One Family Detached
285576,3291.0,Acc Struct to 1 or 2 Family
285583,3291.0,Acc Struct to 1 or 2 Family
285588,3281.0,Acc Bldg to 1 or 2 Fam 
36533,1010.0,One Family Detached
285611,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
285615,3180.0,Amusement/Recreation Building
36540,1010.0,One Family Detached
285626,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
274101,6490.0,Demo of NonRes Buildings
285631,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
285633,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
36541,4380.0,Add/Alt Tenant Improvements
285672,3281.0,Acc Bldg to 1 or 2 Fam 
285668,4380.0,Add/Alt Tenant Improvements
36544,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
36549,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
36550,4342.0,"Add/Alt 3+, No Chg DU"
285768,4380.0,Add/Alt Tenant Improvements
36550,4342.0,"Add/Alt 3+, No Chg DU"
285780,4380.0,Add/Alt Tenant Improvements
36557,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
285800,4342.0,"Add/Alt 3+, No Chg DU"
285808,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
285810,4380.0,Add/Alt Tenant Improvements
285828,3291.0,Acc Struct to 1 or 2 Family
36550,4342.0,"Add/Alt 3+, No Chg DU"
285848,3291.0,Acc Struct to 1 or 2 Family
285855,3295.0,ACC STRUCT- NON RES
36559,1010.0,One Family Detached
285875,4380.0,Add/Alt Tenant Improvements
36559,1010.0,One Family Detached
36559,1010.0,One Family Detached
285882,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
285885,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
36559,1010.0,One Family Detached
285878,4380.0,Add/Alt Tenant Improvements
36559,1010.0,One Family Detached
285886,3190.0,Church or Religious Building
36559,1010.0,One Family Detached
285884,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
36565,3293.0,Pool or Spa/1 or 2 Family
285941,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
36568,3270.0,Store/Mercantile Building
285950,4342.0,"Add/Alt 3+, No Chg DU"
285960,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
285966,4380.0,Add/Alt Tenant Improvements
285968,4380.0,Add/Alt Tenant Improvements
285971,4380.0,Add/Alt Tenant Improvements
285945,4342.0,"Add/Alt 3+, No Chg DU"
285967,4380.0,Add/Alt Tenant Improvements
285983,4380.0,Add/Alt Tenant Improvements
285990,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
285988,4380.0,Add/Alt Tenant Improvements
36574,3293.0,Pool or Spa/1 or 2 Family
285999,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
286001,4380.0,Add/Alt Tenant Improvements
286019,3295.0,ACC STRUCT- NON RES
286020,4380.0,Add/Alt Tenant Improvements
286039,4380.0,Add/Alt Tenant Improvements
286040,3295.0,ACC STRUCT- NON RES
286044,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
286048,1010.0,One Family Detached
286057,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
36580,3293.0,Pool or Spa/1 or 2 Family
286077,1010.0,One Family Detached
286077,1010.0,One Family Detached
286077,1010.0,One Family Detached
286077,1010.0,One Family Detached
286084,4380.0,Add/Alt Tenant Improvements
286097,4380.0,Add/Alt Tenant Improvements
285666,3291.0,Acc Struct to 1 or 2 Family
286100,1010.0,One Family Detached
286100,1010.0,One Family Detached
286100,1010.0,One Family Detached
286105,4342.0,"Add/Alt 3+, No Chg DU"
286109,3293.0,Pool or Spa/1 or 2 Family
286116,3292.0,Acc Struct to 3+ Fam or NonRes
286133,4380.0,Add/Alt Tenant Improvements
286146,3293.0,Pool or Spa/1 or 2 Family
286148,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
286159,4380.0,Add/Alt Tenant Improvements
286173,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
36592,4380.0,Add/Alt Tenant Improvements
286134,4342.0,"Add/Alt 3+, No Chg DU"
286134,4342.0,"Add/Alt 3+, No Chg DU"
286134,4342.0,"Add/Alt 3+, No Chg DU"
286134,4342.0,"Add/Alt 3+, No Chg DU"
286134,4342.0,"Add/Alt 3+, No Chg DU"
286196,4380.0,Add/Alt Tenant Improvements
286198,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
286208,4380.0,Add/Alt Tenant Improvements
36595,3293.0,Pool or Spa/1 or 2 Family
286212,4380.0,Add/Alt Tenant Improvements
286218,4380.0,Add/Alt Tenant Improvements
286224,4380.0,Add/Alt Tenant Improvements
286240,4380.0,Add/Alt Tenant Improvements
286247,4380.0,Add/Alt Tenant Improvements
36598,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
286251,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
286255,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
286261,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
286266,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
36600,1010.0,One Family Detached
286285,1051.0,Five or More Family Apt
286287,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
286291,4380.0,Add/Alt Tenant Improvements
286291,4380.0,Add/Alt Tenant Improvements
286291,4380.0,Add/Alt Tenant Improvements
286296,4380.0,Add/Alt Tenant Improvements
286298,4342.0,"Add/Alt 3+, No Chg DU"
286306,4342.0,"Add/Alt 3+, No Chg DU"
286312,4380.0,Add/Alt Tenant Improvements
286314,3291.0,Acc Struct to 1 or 2 Family
286320,4380.0,Add/Alt Tenant Improvements
36609,1010.0,One Family Detached
286328,4380.0,Add/Alt Tenant Improvements
36609,1010.0,One Family Detached
286336,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
36609,1010.0,One Family Detached
36609,1010.0,One Family Detached
286366,4380.0,Add/Alt Tenant Improvements
286380,4380.0,Add/Alt Tenant Improvements
286382,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
286405,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
286464,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
286468,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
286506,4380.0,Add/Alt Tenant Improvements
286510,4380.0,Add/Alt Tenant Improvements
284729,3292.0,Acc Struct to 3+ Fam or NonRes
286545,4380.0,Add/Alt Tenant Improvements
286549,3240.0,Office/Bank/Professional Bldg
286552,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
286580,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
286584,4380.0,Add/Alt Tenant Improvements
286588,1010.0,One Family Detached
286590,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
286604,4380.0,Add/Alt Tenant Improvements
286608,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
286611,4380.0,Add/Alt Tenant Improvements
286599,4380.0,Add/Alt Tenant Improvements
286612,4380.0,Add/Alt Tenant Improvements
286624,4380.0,Add/Alt Tenant Improvements
36640,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
286661,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
286679,4342.0,"Add/Alt 3+, No Chg DU"
286678,1010.0,One Family Detached
286682,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
286678,1010.0,One Family Detached
286678,1010.0,One Family Detached
286678,1010.0,One Family Detached
286678,1010.0,One Family Detached
286690,4380.0,Add/Alt Tenant Improvements
36642,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
286714,4380.0,Add/Alt Tenant Improvements
36646,3291.0,Acc Struct to 1 or 2 Family
286741,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
36649,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
286758,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
286760,4380.0,Add/Alt Tenant Improvements
286765,4380.0,Add/Alt Tenant Improvements
286769,4380.0,Add/Alt Tenant Improvements
286791,4380.0,Add/Alt Tenant Improvements
286793,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
286795,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
36655,4380.0,Add/Alt Tenant Improvements
286816,3281.0,Acc Bldg to 1 or 2 Fam 
286824,4333.0,Add/Alt Companion Unit/Acc Apt
286829,3291.0,Acc Struct to 1 or 2 Family
286830,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
286848,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
286851,4380.0,Add/Alt Tenant Improvements
286857,4380.0,Add/Alt Tenant Improvements
286859,4380.0,Add/Alt Tenant Improvements
36558,1010.0,One Family Detached
286874,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
286890,3291.0,Acc Struct to 1 or 2 Family
286893,4380.0,Add/Alt Tenant Improvements
286901,4380.0,Add/Alt Tenant Improvements
286915,4380.0,Add/Alt Tenant Improvements
286926,3291.0,Acc Struct to 1 or 2 Family
286927,4380.0,Add/Alt Tenant Improvements
286936,3293.0,Pool or Spa/1 or 2 Family
286939,3293.0,Pool or Spa/1 or 2 Family
36670,4380.0,Add/Alt Tenant Improvements
286962,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
286963,1010.0,One Family Detached
286963,1010.0,One Family Detached
286963,1010.0,One Family Detached
286963,1010.0,One Family Detached
286963,1010.0,One Family Detached
286963,1010.0,One Family Detached
286963,1010.0,One Family Detached
286963,1010.0,One Family Detached
286989,4380.0,Add/Alt Tenant Improvements
286990,1010.0,One Family Detached
286990,1010.0,One Family Detached
286990,1010.0,One Family Detached
286990,1010.0,One Family Detached
286990,1010.0,One Family Detached
286990,1010.0,One Family Detached
286990,1010.0,One Family Detached
286990,1010.0,One Family Detached
287001,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
287005,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
287009,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
287014,,
287018,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
287019,4380.0,Add/Alt Tenant Improvements
287029,3292.0,Acc Struct to 3+ Fam or NonRes
287047,4380.0,Add/Alt Tenant Improvements
287049,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
287054,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
287055,4371.0,Add/Alt Acc Bldg to 1 or 2 Fam
287056,4380.0,Add/Alt Tenant Improvements
287081,1010.0,One Family Detached
36669,1010.0,One Family Detached
287078,4351.0,"Add/Alt 1 or 2 Fam, Decrease D"
287082,4380.0,Add/Alt Tenant Improvements
287085,1010.0,One Family Detached
287088,1010.0,One Family Detached
287087,4380.0,Add/Alt Tenant Improvements
287090,4380.0,Add/Alt Tenant Improvements
287095,3295.0,ACC STRUCT- NON RES
287098,4380.0,Add/Alt Tenant Improvements
287105,4380.0,Add/Alt Tenant Improvements
287095,3295.0,ACC STRUCT- NON RES
287095,3295.0,ACC STRUCT- NON RES
287117,4380.0,Add/Alt Tenant Improvements
287116,1032.0,Two family Condominium
287118,4380.0,Add/Alt Tenant Improvements
36669,1010.0,One Family Detached
36669,1010.0,One Family Detached
287125,4380.0,Add/Alt Tenant Improvements
287140,4380.0,Add/Alt Tenant Improvements
36669,1010.0,One Family Detached
287143,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
36669,1010.0,One Family Detached
36669,1010.0,One Family Detached
36669,1010.0,One Family Detached
36669,1010.0,One Family Detached
287144,4332.0,"Add/Alt 3+ Fam, Increase DU"
287141,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
36669,1010.0,One Family Detached
36669,1010.0,One Family Detached
36669,1010.0,One Family Detached
287144,1010.0,One Family Detached
36669,1010.0,One Family Detached
287160,1051.0,Five or More Family Apt
36669,1010.0,One Family Detached
287174,4342.0,"Add/Alt 3+, No Chg DU"
287183,3291.0,Acc Struct to 1 or 2 Family
36674,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
36683,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
286737,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
36684,4380.0,Add/Alt Tenant Improvements
36687,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
287302,4380.0,Add/Alt Tenant Improvements
36686,3293.0,Pool or Spa/1 or 2 Family
287308,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
287319,4380.0,Add/Alt Tenant Improvements
287321,3293.0,Pool or Spa/1 or 2 Family
287357,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
287359,3295.0,ACC STRUCT- NON RES
36691,3293.0,Pool or Spa/1 or 2 Family
287360,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
287361,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
287369,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
36696,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
287406,4380.0,Add/Alt Tenant Improvements
34618,4380.0,Add/Alt Tenant Improvements
287416,4373.0,Add/Alt NonRes Bldg or Struct
36700,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
287445,3291.0,Acc Struct to 1 or 2 Family
287443,4380.0,Add/Alt Tenant Improvements
287451,1010.0,One Family Detached
287462,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
36681,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
36701,4380.0,Add/Alt Tenant Improvements
287466,4380.0,Add/Alt Tenant Improvements
287470,4380.0,Add/Alt Tenant Improvements
287478,4373.0,Add/Alt NonRes Bldg or Struct
287481,4380.0,Add/Alt Tenant Improvements
287488,4380.0,Add/Alt Tenant Improvements
36706,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
287497,4380.0,Add/Alt Tenant Improvements
287496,4380.0,Add/Alt Tenant Improvements
287505,1010.0,One Family Detached
287507,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
287517,4380.0,Add/Alt Tenant Improvements
36709,3200.0,Industrial Building
287530,3282.0,Acc Bldg to 3+ Fam or NonRes
287551,3291.0,Acc Struct to 1 or 2 Family
287548,3240.0,Office/Bank/Professional Bldg
36708,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
287589,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
287591,4380.0,Add/Alt Tenant Improvements
287593,4380.0,Add/Alt Tenant Improvements
287600,4380.0,Add/Alt Tenant Improvements
287602,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
287606,4380.0,Add/Alt Tenant Improvements
287606,4380.0,Add/Alt Tenant Improvements
287606,4380.0,Add/Alt Tenant Improvements
287606,4380.0,Add/Alt Tenant Improvements
287614,4380.0,Add/Alt Tenant Improvements
287629,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
287640,3295.0,ACC STRUCT- NON RES
287658,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
287675,4380.0,Add/Alt Tenant Improvements
287680,4380.0,Add/Alt Tenant Improvements
287688,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
287723,3292.0,Acc Struct to 3+ Fam or NonRes
287733,4380.0,Add/Alt Tenant Improvements
287741,1051.0,Five or More Family Apt
36730,3281.0,Acc Bldg to 1 or 2 Fam 
287763,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
287766,4380.0,Add/Alt Tenant Improvements
287779,3293.0,Pool or Spa/1 or 2 Family
287804,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
287825,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
287816,4380.0,Add/Alt Tenant Improvements
287816,4380.0,Add/Alt Tenant Improvements
287816,4380.0,Add/Alt Tenant Improvements
287816,4380.0,Add/Alt Tenant Improvements
287816,4380.0,Add/Alt Tenant Improvements
287841,4380.0,Add/Alt Tenant Improvements
36740,4380.0,Add/Alt Tenant Improvements
287877,3210.0,Parking Garage Open to Public
287876,3291.0,Acc Struct to 1 or 2 Family
287882,3282.0,Acc Bldg to 3+ Fam or NonRes
280898,4373.0,Add/Alt NonRes Bldg or Struct
287909,4380.0,Add/Alt Tenant Improvements
287907,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
287922,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
287925,4380.0,Add/Alt Tenant Improvements
287931,4380.0,Add/Alt Tenant Improvements
36745,1010.0,One Family Detached
287943,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
287946,4380.0,Add/Alt Tenant Improvements
287951,4380.0,Add/Alt Tenant Improvements
287970,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
287971,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
287978,4373.0,Add/Alt NonRes Bldg or Struct
287978,4373.0,Add/Alt NonRes Bldg or Struct
36017,3240.0,Office/Bank/Professional Bldg
287981,3180.0,Amusement/Recreation Building
288034,4380.0,Add/Alt Tenant Improvements
288036,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
36754,4380.0,Add/Alt Tenant Improvements
288063,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
288066,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
288078,4380.0,Add/Alt Tenant Improvements
288089,4380.0,Add/Alt Tenant Improvements
288097,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
288124,4380.0,Add/Alt Tenant Improvements
288132,3293.0,Pool or Spa/1 or 2 Family
288134,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
288145,3293.0,Pool or Spa/1 or 2 Family
288143,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
288152,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
288162,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
288167,4380.0,Add/Alt Tenant Improvements
288166,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
288172,4380.0,Add/Alt Tenant Improvements
288205,4380.0,Add/Alt Tenant Improvements
288211,3291.0,Acc Struct to 1 or 2 Family
288219,3281.0,Acc Bldg to 1 or 2 Fam 
288223,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
288228,4380.0,Add/Alt Tenant Improvements
288240,4380.0,Add/Alt Tenant Improvements
288250,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
288266,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
288275,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
36775,1010.0,One Family Detached
288277,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
288278,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
288291,3291.0,Acc Struct to 1 or 2 Family
288272,3283.0,Commercial Temp Occ Struct
288293,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
288308,4380.0,Add/Alt Tenant Improvements
288314,4380.0,Add/Alt Tenant Improvements
288320,4380.0,Add/Alt Tenant Improvements
288315,1010.0,One Family Detached
288327,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
288328,1010.0,One Family Detached
288334,1051.0,Five or More Family Apt
288338,1051.0,Five or More Family Apt
288336,1032.0,Two family Condominium
288358,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
36784,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
288396,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
288413,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
288407,4380.0,Add/Alt Tenant Improvements
34928,3292.0,Acc Struct to 3+ Fam or NonRes
36789,4380.0,Add/Alt Tenant Improvements
36792,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
288433,4380.0,Add/Alt Tenant Improvements
288463,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
288455,4380.0,Add/Alt Tenant Improvements
288474,4380.0,Add/Alt Tenant Improvements
288473,4380.0,Add/Alt Tenant Improvements
288476,4380.0,Add/Alt Tenant Improvements
288494,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
288498,1010.0,One Family Detached
288503,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
288487,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
36800,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
288520,1010.0,One Family Detached
288520,1010.0,One Family Detached
288520,1010.0,One Family Detached
288520,1010.0,One Family Detached
288520,1010.0,One Family Detached
288520,1010.0,One Family Detached
288520,1010.0,One Family Detached
288520,1010.0,One Family Detached
36802,4380.0,Add/Alt Tenant Improvements
288550,4380.0,Add/Alt Tenant Improvements
288552,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
288558,1010.0,One Family Detached
288558,1010.0,One Family Detached
288573,4380.0,Add/Alt Tenant Improvements
288580,4380.0,Add/Alt Tenant Improvements
36809,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
288581,4380.0,Add/Alt Tenant Improvements
288649,4373.0,Add/Alt NonRes Bldg or Struct
288674,4380.0,Add/Alt Tenant Improvements
288678,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
288681,4342.0,"Add/Alt 3+, No Chg DU"
288710,4380.0,Add/Alt Tenant Improvements
288705,4380.0,Add/Alt Tenant Improvements
288708,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
288723,4380.0,Add/Alt Tenant Improvements
288721,4380.0,Add/Alt Tenant Improvements
288729,1051.0,Five or More Family Apt
36820,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
288738,4380.0,Add/Alt Tenant Improvements
36819,4380.0,Add/Alt Tenant Improvements
288741,3295.0,ACC STRUCT- NON RES
288741,3295.0,ACC STRUCT- NON RES
288741,3295.0,ACC STRUCT- NON RES
288741,3295.0,ACC STRUCT- NON RES
288760,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
288790,4380.0,Add/Alt Tenant Improvements
288801,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
288807,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
288810,1010.0,One Family Detached
288812,3281.0,Acc Bldg to 1 or 2 Fam 
288820,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
288827,3291.0,Acc Struct to 1 or 2 Family
288830,4380.0,Add/Alt Tenant Improvements
288853,4380.0,Add/Alt Tenant Improvements
288862,1010.0,One Family Detached
288866,4380.0,Add/Alt Tenant Improvements
288880,3295.0,ACC STRUCT- NON RES
288875,3293.0,Pool or Spa/1 or 2 Family
288890,3295.0,ACC STRUCT- NON RES
288900,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
288901,3295.0,ACC STRUCT- NON RES
288904,4380.0,Add/Alt Tenant Improvements
288906,4380.0,Add/Alt Tenant Improvements
288912,4380.0,Add/Alt Tenant Improvements
288919,3291.0,Acc Struct to 1 or 2 Family
288917,4373.0,Add/Alt NonRes Bldg or Struct
36838,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
288924,4380.0,Add/Alt Tenant Improvements
288932,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
288336,1032.0,Two family Condominium
288974,1010.0,One Family Detached
288972,4380.0,Add/Alt Tenant Improvements
288974,1010.0,One Family Detached
288974,1010.0,One Family Detached
288974,1010.0,One Family Detached
288974,1010.0,One Family Detached
288974,1010.0,One Family Detached
288974,1010.0,One Family Detached
288974,1010.0,One Family Detached
288879,3292.0,Acc Struct to 3+ Fam or NonRes
