species_scientific_name,species_common_name,observation_date,track_type,total_sightings,vegetation_category,location_name,reserve_name,lat,long
Odocoileus hemionus,Mule Deer,1996-07-15,Tracks,217,Scrub and Chaparral,Sabre Springs to Mercy Property - Section: 3,Los Penasquitos Canyon Preserve,32.944575,117.09918300000001
Didelphis virginiana,Opossum,1996-07-15,Scat,2,Scrub and Chaparral,Sabre Springs to Mercy Property - Section: 3,Los Penasquitos Canyon Preserve,32.944575,117.09918300000001
Didelphis virginiana,Opossum,1996-07-15,Tracks,8,Scrub and Chaparral,Sabre Springs to Mercy Property - Section: 3,Los Penasquitos Canyon Preserve,32.944575,117.09918300000001
Procyon lotor,Raccoon,1996-07-15,Scat,4,Scrub and Chaparral,Sabre Springs to Mercy Property - Section: 3,Los Penasquitos Canyon Preserve,32.944575,117.09918300000001
Procyon lotor,Raccoon,1996-07-15,Tracks,72,Scrub and Chaparral,Sabre Springs to Mercy Property - Section: 3,Los Penasquitos Canyon Preserve,32.944575,117.09918300000001
Neotoma lepida,Woodrat/Packrat,1996-07-15,Den/Bed Site,116,Scrub and Chaparral,Sabre Springs to Mercy Property - Section: 3,Los Penasquitos Canyon Preserve,32.944575,117.09918300000001
Neotoma lepida,Woodrat/Packrat,1996-07-15,Scat,1,Scrub and Chaparral,Sabre Springs to Mercy Property - Section: 3,Los Penasquitos Canyon Preserve,32.944575,117.09918300000001
Neotoma lepida,Woodrat/Packrat,1996-07-15,Tracks,47,Scrub and Chaparral,Sabre Springs to Mercy Property - Section: 3,Los Penasquitos Canyon Preserve,32.944575,117.09918300000001
Lynx rufus,Bobcat,1996-07-15,Scat,49,Scrub and Chaparral,Sabre Springs to Mercy Property - Section: 4,Los Penasquitos Canyon Preserve,32.943317,117.100858
Lynx rufus,Bobcat,1996-07-15,Tracks,19,Scrub and Chaparral,Sabre Springs to Mercy Property - Section: 4,Los Penasquitos Canyon Preserve,32.943317,117.100858
Puma concolor,Cougar,1996-07-15,Scat,6,Scrub and Chaparral,Sabre Springs to Mercy Property - Section: 4,Los Penasquitos Canyon Preserve,32.943317,117.100858
Puma concolor,Cougar,1996-07-15,Tracks,1,Scrub and Chaparral,Sabre Springs to Mercy Property - Section: 4,Los Penasquitos Canyon Preserve,32.943317,117.100858
Canis latrans,Coyote,1996-07-15,Scat,108,Scrub and Chaparral,Sabre Springs to Mercy Property - Section: 4,Los Penasquitos Canyon Preserve,32.943317,117.100858
Canis latrans,Coyote,1996-07-15,Tracks,62,Scrub and Chaparral,Sabre Springs to Mercy Property - Section: 4,Los Penasquitos Canyon Preserve,32.943317,117.100858
Urocyon cinereoargenteus,Gray Fox,1996-07-15,Scat,17,Scrub and Chaparral,Sabre Springs to Mercy Property - Section: 4,Los Penasquitos Canyon Preserve,32.943317,117.100858
Urocyon cinereoargenteus,Gray Fox,1996-07-15,Tracks,4,Scrub and Chaparral,Sabre Springs to Mercy Property - Section: 4,Los Penasquitos Canyon Preserve,32.943317,117.100858
Odocoileus hemionus,Mule Deer,1996-07-15,Browse,14,Scrub and Chaparral,Sabre Springs to Mercy Property - Section: 4,Los Penasquitos Canyon Preserve,32.943317,117.100858
Odocoileus hemionus,Mule Deer,1996-07-15,Den/Bed Site,1,Scrub and Chaparral,Sabre Springs to Mercy Property - Section: 4,Los Penasquitos Canyon Preserve,32.943317,117.100858
Odocoileus hemionus,Mule Deer,1996-07-15,Scat,1,Scrub and Chaparral,Sabre Springs to Mercy Property - Section: 4,Los Penasquitos Canyon Preserve,32.943317,117.100858
Odocoileus hemionus,Mule Deer,1996-07-15,Tracks,161,Scrub and Chaparral,Sabre Springs to Mercy Property - Section: 4,Los Penasquitos Canyon Preserve,32.943317,117.100858
Didelphis virginiana,Opossum,1996-07-15,Den/Bed Site,1,Scrub and Chaparral,Sabre Springs to Mercy Property - Section: 4,Los Penasquitos Canyon Preserve,32.943317,117.100858
Didelphis virginiana,Opossum,1996-07-15,Tracks,2,Scrub and Chaparral,Sabre Springs to Mercy Property - Section: 4,Los Penasquitos Canyon Preserve,32.943317,117.100858
Procyon lotor,Raccoon,1996-07-15,Scat,2,Scrub and Chaparral,Sabre Springs to Mercy Property - Section: 4,Los Penasquitos Canyon Preserve,32.943317,117.100858
Procyon lotor,Raccoon,1996-07-15,Tracks,55,Scrub and Chaparral,Sabre Springs to Mercy Property - Section: 4,Los Penasquitos Canyon Preserve,32.943317,117.100858
Neotoma lepida,Woodrat/Packrat,1996-07-15,Den/Bed Site,203,Scrub and Chaparral,Sabre Springs to Mercy Property - Section: 4,Los Penasquitos Canyon Preserve,32.943317,117.100858
Neotoma lepida,Woodrat/Packrat,1996-07-15,Scat,5,Scrub and Chaparral,Sabre Springs to Mercy Property - Section: 4,Los Penasquitos Canyon Preserve,32.943317,117.100858
Neotoma lepida,Woodrat/Packrat,1996-07-15,Sighting,1,Scrub and Chaparral,Sabre Springs to Mercy Property - Section: 4,Los Penasquitos Canyon Preserve,32.943317,117.100858
Neotoma lepida,Woodrat/Packrat,1996-07-15,Tracks,17,Scrub and Chaparral,Sabre Springs to Mercy Property - Section: 4,Los Penasquitos Canyon Preserve,32.943317,117.100858
Lepus californicus,Black Tailed Jackrabbit,1996-07-15,Scat,1,Riparian and Bottomland Habitat,Sabre Springs to Mercy Property - Section: 5,Los Penasquitos Canyon Preserve,32.943567,117.103225
Lynx rufus,Bobcat,1996-07-15,Evidence of Predation,1,Riparian and Bottomland Habitat,Sabre Springs to Mercy Property - Section: 5,Los Penasquitos Canyon Preserve,32.943567,117.103225
Lynx rufus,Bobcat,1996-07-15,Scat,78,Riparian and Bottomland Habitat,Sabre Springs to Mercy Property - Section: 5,Los Penasquitos Canyon Preserve,32.943567,117.103225
Lynx rufus,Bobcat,1996-07-15,Tracks,18,Riparian and Bottomland Habitat,Sabre Springs to Mercy Property - Section: 5,Los Penasquitos Canyon Preserve,32.943567,117.103225
Puma concolor,Cougar,1996-07-15,Scat,1,Riparian and Bottomland Habitat,Sabre Springs to Mercy Property - Section: 5,Los Penasquitos Canyon Preserve,32.943567,117.103225
Canis latrans,Coyote,1996-07-15,Evidence of Predation,1,Riparian and Bottomland Habitat,Sabre Springs to Mercy Property - Section: 5,Los Penasquitos Canyon Preserve,32.943567,117.103225
Canis latrans,Coyote,1996-07-15,Scat,136,Riparian and Bottomland Habitat,Sabre Springs to Mercy Property - Section: 5,Los Penasquitos Canyon Preserve,32.943567,117.103225
Canis latrans,Coyote,1996-07-15,Tracks,59,Riparian and Bottomland Habitat,Sabre Springs to Mercy Property - Section: 5,Los Penasquitos Canyon Preserve,32.943567,117.103225
Urocyon cinereoargenteus,Gray Fox,1996-07-15,Scat,8,Riparian and Bottomland Habitat,Sabre Springs to Mercy Property - Section: 5,Los Penasquitos Canyon Preserve,32.943567,117.103225
Urocyon cinereoargenteus,Gray Fox,1996-07-15,Tracks,7,Riparian and Bottomland Habitat,Sabre Springs to Mercy Property - Section: 5,Los Penasquitos Canyon Preserve,32.943567,117.103225
Odocoileus hemionus,Mule Deer,1996-07-15,Browse,17,Riparian and Bottomland Habitat,Sabre Springs to Mercy Property - Section: 5,Los Penasquitos Canyon Preserve,32.943567,117.103225
Odocoileus hemionus,Mule Deer,1996-07-15,Tracks,60,Riparian and Bottomland Habitat,Sabre Springs to Mercy Property - Section: 5,Los Penasquitos Canyon Preserve,32.943567,117.103225
Didelphis virginiana,Opossum,1996-07-15,Tracks,6,Riparian and Bottomland Habitat,Sabre Springs to Mercy Property - Section: 5,Los Penasquitos Canyon Preserve,32.943567,117.103225
Procyon lotor,Raccoon,1996-07-15,Scat,1,Riparian and Bottomland Habitat,Sabre Springs to Mercy Property - Section: 5,Los Penasquitos Canyon Preserve,32.943567,117.103225
Procyon lotor,Raccoon,1996-07-15,Tracks,39,Riparian and Bottomland Habitat,Sabre Springs to Mercy Property - Section: 5,Los Penasquitos Canyon Preserve,32.943567,117.103225
Neotoma lepida,Woodrat/Packrat,1996-07-15,Den/Bed Site,167,Riparian and Bottomland Habitat,Sabre Springs to Mercy Property - Section: 5,Los Penasquitos Canyon Preserve,32.943567,117.103225
Neotoma lepida,Woodrat/Packrat,1996-07-15,Scat,3,Riparian and Bottomland Habitat,Sabre Springs to Mercy Property - Section: 5,Los Penasquitos Canyon Preserve,32.943567,117.103225
Neotoma lepida,Woodrat/Packrat,1996-07-15,Tracks,22,Riparian and Bottomland Habitat,Sabre Springs to Mercy Property - Section: 5,Los Penasquitos Canyon Preserve,32.943567,117.103225
Lynx rufus,Bobcat,1996-07-15,Scat,25,Scrub and Chaparral,Sabre Springs to Mercy Property - Section: 6,Los Penasquitos Canyon Preserve,32.944,117.105717
Lynx rufus,Bobcat,1996-07-15,Tracks,4,Scrub and Chaparral,Sabre Springs to Mercy Property - Section: 6,Los Penasquitos Canyon Preserve,32.944,117.105717
Puma concolor,Cougar,1996-07-15,Scat,3,Scrub and Chaparral,Sabre Springs to Mercy Property - Section: 6,Los Penasquitos Canyon Preserve,32.944,117.105717
Puma concolor,Cougar,1996-07-15,Tracks,1,Scrub and Chaparral,Sabre Springs to Mercy Property - Section: 6,Los Penasquitos Canyon Preserve,32.944,117.105717
Canis latrans,Coyote,1996-07-15,Evidence of Predation,1,Scrub and Chaparral,Sabre Springs to Mercy Property - Section: 6,Los Penasquitos Canyon Preserve,32.944,117.105717
Canis latrans,Coyote,1996-07-15,Scat,67,Scrub and Chaparral,Sabre Springs to Mercy Property - Section: 6,Los Penasquitos Canyon Preserve,32.944,117.105717
Canis latrans,Coyote,1996-07-15,Tracks,29,Scrub and Chaparral,Sabre Springs to Mercy Property - Section: 6,Los Penasquitos Canyon Preserve,32.944,117.105717
Urocyon cinereoargenteus,Gray Fox,1996-07-15,Scat,7,Scrub and Chaparral,Sabre Springs to Mercy Property - Section: 6,Los Penasquitos Canyon Preserve,32.944,117.105717
Odocoileus hemionus,Mule Deer,1996-07-15,Browse,5,Scrub and Chaparral,Sabre Springs to Mercy Property - Section: 6,Los Penasquitos Canyon Preserve,32.944,117.105717
Odocoileus hemionus,Mule Deer,1996-07-15,Scat,5,Scrub and Chaparral,Sabre Springs to Mercy Property - Section: 6,Los Penasquitos Canyon Preserve,32.944,117.105717
Odocoileus hemionus,Mule Deer,1996-07-15,Tracks,24,Scrub and Chaparral,Sabre Springs to Mercy Property - Section: 6,Los Penasquitos Canyon Preserve,32.944,117.105717
Didelphis virginiana,Opossum,1996-07-15,Tracks,2,Scrub and Chaparral,Sabre Springs to Mercy Property - Section: 6,Los Penasquitos Canyon Preserve,32.944,117.105717
Procyon lotor,Raccoon,1996-07-15,Scat,1,Scrub and Chaparral,Sabre Springs to Mercy Property - Section: 6,Los Penasquitos Canyon Preserve,32.944,117.105717
Procyon lotor,Raccoon,1996-07-15,Tracks,12,Scrub and Chaparral,Sabre Springs to Mercy Property - Section: 6,Los Penasquitos Canyon Preserve,32.944,117.105717
Neotoma lepida,Woodrat/Packrat,1996-07-15,Den/Bed Site,176,Scrub and Chaparral,Sabre Springs to Mercy Property - Section: 6,Los Penasquitos Canyon Preserve,32.944,117.105717
Neotoma lepida,Woodrat/Packrat,1996-07-15,Scat,3,Scrub and Chaparral,Sabre Springs to Mercy Property - Section: 6,Los Penasquitos Canyon Preserve,32.944,117.105717
Neotoma lepida,Woodrat/Packrat,1996-07-15,Tracks,14,Scrub and Chaparral,Sabre Springs to Mercy Property - Section: 6,Los Penasquitos Canyon Preserve,32.944,117.105717
Lynx rufus,Bobcat,1996-07-15,Scat,4,Scrub and Chaparral,Sabre Springs to Mercy Property - Section: 7,Los Penasquitos Canyon Preserve,32.943225,117.107183
Lynx rufus,Bobcat,1996-07-15,Tracks,8,Scrub and Chaparral,Sabre Springs to Mercy Property - Section: 7,Los Penasquitos Canyon Preserve,32.943225,117.107183
Canis latrans,Coyote,1996-07-15,Scat,10,Scrub and Chaparral,Sabre Springs to Mercy Property - Section: 7,Los Penasquitos Canyon Preserve,32.943225,117.107183
Canis latrans,Coyote,1996-07-15,Tracks,31,Scrub and Chaparral,Sabre Springs to Mercy Property - Section: 7,Los Penasquitos Canyon Preserve,32.943225,117.107183
Urocyon cinereoargenteus,Gray Fox,1996-07-15,Scat,4,Scrub and Chaparral,Sabre Springs to Mercy Property - Section: 7,Los Penasquitos Canyon Preserve,32.943225,117.107183
Urocyon cinereoargenteus,Gray Fox,1996-07-15,Tracks,5,Scrub and Chaparral,Sabre Springs to Mercy Property - Section: 7,Los Penasquitos Canyon Preserve,32.943225,117.107183
Odocoileus hemionus,Mule Deer,1996-07-15,Browse,28,Scrub and Chaparral,Sabre Springs to Mercy Property - Section: 7,Los Penasquitos Canyon Preserve,32.943225,117.107183
Odocoileus hemionus,Mule Deer,1996-07-15,Scat,3,Scrub and Chaparral,Sabre Springs to Mercy Property - Section: 7,Los Penasquitos Canyon Preserve,32.943225,117.107183
Odocoileus hemionus,Mule Deer,1996-07-15,Sighting,1,Scrub and Chaparral,Sabre Springs to Mercy Property - Section: 7,Los Penasquitos Canyon Preserve,32.943225,117.107183
Odocoileus hemionus,Mule Deer,1996-07-15,Tracks,124,Scrub and Chaparral,Sabre Springs to Mercy Property - Section: 7,Los Penasquitos Canyon Preserve,32.943225,117.107183
Didelphis virginiana,Opossum,1996-07-15,Tracks,3,Scrub and Chaparral,Sabre Springs to Mercy Property - Section: 7,Los Penasquitos Canyon Preserve,32.943225,117.107183
Procyon lotor,Raccoon,1996-07-15,Scat,2,Scrub and Chaparral,Sabre Springs to Mercy Property - Section: 7,Los Penasquitos Canyon Preserve,32.943225,117.107183
Procyon lotor,Raccoon,1996-07-15,Tracks,91,Scrub and Chaparral,Sabre Springs to Mercy Property - Section: 7,Los Penasquitos Canyon Preserve,32.943225,117.107183
Neotoma lepida,Woodrat/Packrat,1996-07-15,Den/Bed Site,116,Scrub and Chaparral,Sabre Springs to Mercy Property - Section: 7,Los Penasquitos Canyon Preserve,32.943225,117.107183
Neotoma lepida,Woodrat/Packrat,1996-07-15,Scat,7,Scrub and Chaparral,Sabre Springs to Mercy Property - Section: 7,Los Penasquitos Canyon Preserve,32.943225,117.107183
Neotoma lepida,Woodrat/Packrat,1996-07-15,Tracks,9,Scrub and Chaparral,Sabre Springs to Mercy Property - Section: 7,Los Penasquitos Canyon Preserve,32.943225,117.107183
Lynx rufus,Bobcat,1996-07-15,Tracks,6,Riparian and Bottomland Habitat,Sabre Springs to Mercy Property - Section: 8,Los Penasquitos Canyon Preserve,32.94225,117.10768300000001
Canis latrans,Coyote,1996-07-15,Scat,1,Riparian and Bottomland Habitat,Sabre Springs to Mercy Property - Section: 8,Los Penasquitos Canyon Preserve,32.94225,117.10768300000001
Canis latrans,Coyote,1996-07-15,Tracks,15,Riparian and Bottomland Habitat,Sabre Springs to Mercy Property - Section: 8,Los Penasquitos Canyon Preserve,32.94225,117.10768300000001
Urocyon cinereoargenteus,Gray Fox,1996-07-15,Tracks,3,Riparian and Bottomland Habitat,Sabre Springs to Mercy Property - Section: 8,Los Penasquitos Canyon Preserve,32.94225,117.10768300000001
Odocoileus hemionus,Mule Deer,1996-07-15,Browse,20,Riparian and Bottomland Habitat,Sabre Springs to Mercy Property - Section: 8,Los Penasquitos Canyon Preserve,32.94225,117.10768300000001
Odocoileus hemionus,Mule Deer,1996-07-15,Den/Bed Site,8,Riparian and Bottomland Habitat,Sabre Springs to Mercy Property - Section: 8,Los Penasquitos Canyon Preserve,32.94225,117.10768300000001
Odocoileus hemionus,Mule Deer,1996-07-15,Scat,4,Riparian and Bottomland Habitat,Sabre Springs to Mercy Property - Section: 8,Los Penasquitos Canyon Preserve,32.94225,117.10768300000001
Odocoileus hemionus,Mule Deer,1996-07-15,Sighting,1,Riparian and Bottomland Habitat,Sabre Springs to Mercy Property - Section: 8,Los Penasquitos Canyon Preserve,32.94225,117.10768300000001
Odocoileus hemionus,Mule Deer,1996-07-15,Tracks,131,Riparian and Bottomland Habitat,Sabre Springs to Mercy Property - Section: 8,Los Penasquitos Canyon Preserve,32.94225,117.10768300000001
Didelphis virginiana,Opossum,1996-07-15,Tracks,1,Riparian and Bottomland Habitat,Sabre Springs to Mercy Property - Section: 8,Los Penasquitos Canyon Preserve,32.94225,117.10768300000001
Procyon lotor,Raccoon,1996-07-15,Tracks,122,Riparian and Bottomland Habitat,Sabre Springs to Mercy Property - Section: 8,Los Penasquitos Canyon Preserve,32.94225,117.10768300000001
Neotoma lepida,Woodrat/Packrat,1996-07-15,Den/Bed Site,31,Riparian and Bottomland Habitat,Sabre Springs to Mercy Property - Section: 8,Los Penasquitos Canyon Preserve,32.94225,117.10768300000001
Neotoma lepida,Woodrat/Packrat,1996-07-15,Scat,5,Riparian and Bottomland Habitat,Sabre Springs to Mercy Property - Section: 8,Los Penasquitos Canyon Preserve,32.94225,117.10768300000001
Neotoma lepida,Woodrat/Packrat,1996-07-15,Tracks,5,Riparian and Bottomland Habitat,Sabre Springs to Mercy Property - Section: 8,Los Penasquitos Canyon Preserve,32.94225,117.10768300000001
Lynx rufus,Bobcat,1996-07-15,Scat,1,Riparian and Bottomland Habitat,Sabre Springs to Mercy Property - Section: 9,Los Penasquitos Canyon Preserve,32.941583,117.10784199999999
Lynx rufus,Bobcat,1996-07-15,Tracks,5,Riparian and Bottomland Habitat,Sabre Springs to Mercy Property - Section: 9,Los Penasquitos Canyon Preserve,32.941583,117.10784199999999
Canis latrans,Coyote,1996-07-15,Scat,5,Riparian and Bottomland Habitat,Sabre Springs to Mercy Property - Section: 9,Los Penasquitos Canyon Preserve,32.941583,117.10784199999999
Canis latrans,Coyote,1996-07-15,Tracks,19,Riparian and Bottomland Habitat,Sabre Springs to Mercy Property - Section: 9,Los Penasquitos Canyon Preserve,32.941583,117.10784199999999
Urocyon cinereoargenteus,Gray Fox,1996-07-15,Tracks,4,Riparian and Bottomland Habitat,Sabre Springs to Mercy Property - Section: 9,Los Penasquitos Canyon Preserve,32.941583,117.10784199999999
Mustela frenata,Long Tailed Weasel,1996-07-15,Tracks,1,Riparian and Bottomland Habitat,Sabre Springs to Mercy Property - Section: 9,Los Penasquitos Canyon Preserve,32.941583,117.10784199999999
Odocoileus hemionus,Mule Deer,1996-07-15,Browse,24,Riparian and Bottomland Habitat,Sabre Springs to Mercy Property - Section: 9,Los Penasquitos Canyon Preserve,32.941583,117.10784199999999
Odocoileus hemionus,Mule Deer,1996-07-15,Carcass,1,Riparian and Bottomland Habitat,Sabre Springs to Mercy Property - Section: 9,Los Penasquitos Canyon Preserve,32.941583,117.10784199999999
Odocoileus hemionus,Mule Deer,1996-07-15,Scat,19,Riparian and Bottomland Habitat,Sabre Springs to Mercy Property - Section: 9,Los Penasquitos Canyon Preserve,32.941583,117.10784199999999
Odocoileus hemionus,Mule Deer,1996-07-15,Tracks,129,Riparian and Bottomland Habitat,Sabre Springs to Mercy Property - Section: 9,Los Penasquitos Canyon Preserve,32.941583,117.10784199999999
